Timestamp,rPPG_signal
85001.816,
85001.85,
85001.90000000001,
85001.95000000001,
85002.0,
85002.05,
85002.1,
85002.15000000001,
85002.20000000001,
85002.25,
85002.3,
85002.35,
85002.40000000001,
85002.45000000001,
85002.5,
85002.55,
85002.6,
85002.65000000001,
85002.70000000001,
85002.75,
85002.8,
85002.85,
85002.90000000001,
85002.95000000001,
85003.0,
85003.05,
85003.1,
85003.15000000001,
85003.20000000001,
85003.25,
85003.3,
85003.35,
85003.40000000001,
85003.45000000001,
85003.5,
85003.55,
85003.6,
85003.65000000001,
85003.70000000001,
85003.75,
85003.8,
85003.85,
85003.90000000001,
85003.95000000001,
85004.0,
85004.05,
85004.1,
85004.15000000001,
85004.20000000001,
85004.25,
85004.3,
85004.35,
85004.40000000001,
85004.45000000001,
85004.5,
85004.55,
85004.6,
85004.65000000001,
85004.70000000001,
85004.75,-0.0115919819042436
85004.8,-0.0110203906567835
85004.85,-0.0095097752078031
85004.90000000001,-0.0071280940314395
85004.95000000001,-0.0030972988200036
85005.0,0.001768675396041
85005.05,0.0010213184748447
85005.1,-0.0012593646826205
85005.15000000001,-0.0036946344462309
85005.20000000001,-0.0038600770558257
85005.25,-0.0032044208641971
85005.3,-0.0068571967111622
85005.35,-0.0104987265398892
85005.40000000001,-0.0134714449480658
85005.45000000001,-0.0176594754525445
85005.5,-0.0225010761863176
85005.55,-0.0224728197990922
85005.6,-0.0187068808977756
85005.65000000001,-0.0169886553157577
85005.70000000001,-0.0143701859328573
85005.75,-0.0116513589891174
85005.8,-0.0082816100347418
85005.85,-0.0042465828578553
85005.90000000001,0.0005442936327437
85005.95000000001,-9.724087670413828e-05
85006.0,-0.004315155885664
85006.05,-0.0078767191467611
85006.1,-0.0096047029399712
85006.15000000001,-0.0080569056144893
85006.20000000001,-0.0056804551639444
85006.25,-0.003634668716986
85006.3,-0.0033651567012474
85006.35,-0.0019265524260535
85006.40000000001,0.0006243572526572
85006.45000000001,0.0022560253534479
85006.5,0.0038594782505846
85006.55,0.00386500800335
85006.6,0.0042264192649638
85006.65000000001,0.0042793756078456
85006.70000000001,0.0021148396848236
85006.75,-0.0020118484218933
85006.8,-0.0052209798250406
85006.85,-0.0058307019792443
85006.90000000001,-0.0048444593092907
85006.95000000001,-0.0034636342129808
85007.0,-0.0027793274969453
85007.05,-0.000936408761445
85007.1,1.7765631850782948e-05
85007.15000000001,0.000308962522934
85007.20000000001,-0.001966824584515
85007.25,-0.006217466882115
85007.3,-0.0081758058995977
85007.35,-0.0093544979766516
85007.40000000001,-0.0086147037312927
85007.45000000001,-0.0060475966871363
85007.5,-0.0047326039203262
85007.55,-0.0027779636055084
85007.6,0.000340761757635
85007.65000000001,0.0051200442248821
85007.70000000001,0.0088078899900562
85007.75,0.0094858521062613
85007.8,0.0083314010548544
85007.85,0.0032005665171625
85007.90000000001,0.0004478164713342
85007.95000000001,-0.0018506174404022
85008.0,-0.0035724036733803
85008.05,-0.0043821662758945
85008.1,-0.003176776369257
85008.15000000001,-0.0023955058915167
85008.20000000001,-0.0021916815724301
85008.25,-0.0015237809098307
85008.3,-0.0013512712632234
85008.35,-0.0013581476371051
85008.40000000001,-0.0024543172116132
85008.45000000001,-0.0036131823699461
85008.5,-0.0047884114501838
85008.55,-0.005299200059207
85008.6,-0.0054127087771335
85008.65000000001,-0.0054704176498396
85008.70000000001,-0.0046662083561261
85008.75,-0.0031472758987499
85008.8,-0.0019117555749843
85008.85,0.000109870288951
85008.90000000001,4.762322742364253e-07
85008.95000000001,-0.0002318885873821
85009.0,0.000101490554494
85009.05,-0.0038915294703243
85009.1,-0.0090369058215027
85009.15000000001,-0.016152116168287
85009.20000000001,-0.0197790447726068
85009.25,-0.018393108737446
85009.3,-0.014741911123458
85009.35,-0.0099882760308707
85009.40000000001,-0.0059194636354025
85009.45000000001,-0.0021395280593298
85009.5,-0.0017226162735342
85009.55,-0.0036596048956401
85009.6,-0.0013013305271219
85009.65000000001,0.003206307873246
85009.70000000001,0.0071006914903383
85009.75,0.0045246403547872
85009.8,0.0025512793316819
85009.85,-0.0002937401662484
85009.90000000001,-0.004057891890813
85009.95000000001,-0.0063795533169841
85010.0,-0.0059859945009921
85010.05,-0.005976758900911
85010.1,-0.0058938600961636
85010.15000000001,-0.0073458321332582
85010.20000000001,-0.0070525927599162
85010.25,-0.0062394758455444
85010.3,-0.0009644180317219
85010.35,0.0034940011922234
85010.40000000001,0.0010802387839707
85010.45000000001,-0.0023233910451791
85010.5,-0.0025541194318699
85010.55,-0.0002794014969606
85010.6,0.0043983439047599
85010.65000000001,0.0077127594681941
85010.70000000001,0.0094022992921317
85010.75,0.0082954235560193
85010.8,0.00826800212045
85010.85,0.0063470392922483
85010.90000000001,0.0052710439759768
85010.95000000001,0.0027334915997111
85011.0,0.0026032127337499
85011.05,0.0044144851352377
85011.1,0.0084784655329354
85011.15000000001,0.0122127620295279
85011.20000000001,0.0121662171187595
85011.25,0.0059878692059891
85011.3,-0.0012966574554641
85011.35,-0.0063553504930492
85011.40000000001,-0.0044989333032536
85011.45000000001,-0.0021436939602978
85011.5,-0.0002031097168203
85011.55,0.0028510604750478
85011.6,0.0045375064450078
85011.65000000001,0.0028294903192679
85011.70000000001,0.0017432749216092
85011.75,0.0029934123770328
85011.8,0.0049229658288323
85011.85,0.0067554256773262
85011.90000000001,0.009636014383398
85011.95000000001,0.0132497737623457
85012.0,0.0165025838598204
85012.05,0.020254165494628
85012.1,0.019015079174294
85012.15000000001,0.0156308978499747
85012.20000000001,0.0112693354254772
85012.25,0.0092131994640437
85012.3,0.0079520091053089
85012.35,0.008003497041554
85012.40000000001,0.0082582689677661
85012.45000000001,0.0086079787652465
85012.5,0.0092764843675456
85012.55,0.0087206872172199
85012.6,0.0081317598187977
85012.65000000001,0.0097941548488005
85012.70000000001,0.0158518818101854
85012.75,0.0273759924542202
85012.8,0.0340280734965306
85012.85,0.0323961156215518
85012.90000000001,0.0288937806907906
85012.95000000001,0.0260587087218034
85013.0,0.025621229592021
85013.05,0.0268647236696022
85013.1,0.0282810417618454
85013.15000000001,0.0291730902811307
85013.20000000001,0.0266851375024252
85013.25,0.0227698719743714
85013.3,0.0184173241829441
85013.35,0.0186012533630388
85013.40000000001,0.0157741937740931
85013.45000000001,0.0058812998169071
85013.5,-0.01223378780301
85013.55,-0.0318243840041832
85013.6,-0.0445571784623318
85013.65000000001,-0.0530499997986175
85013.70000000001,-0.0582576556833912
85013.75,-0.0615561134780872
85013.8,-0.0603441907729077
85013.85,-0.056554913193721
85013.90000000001,-0.053199785743235
85013.95000000001,-0.0512812955671633
85014.0,-0.0493747765148454
85014.05,-0.0484373541055957
85014.1,-0.0475952694157286
85014.15000000001,-0.0445276603822137
85014.20000000001,-0.0422423202850738
85014.25,-0.0398712872619259
85014.3,-0.0357503184150401
85014.35,-0.0367425382551612
85014.40000000001,-0.0380504495292145
85014.45000000001,-0.0381829252905643
85014.5,-0.0376569184402881
85014.55,-0.0348157557255263
85014.6,-0.0369607284827635
85014.65000000001,-0.0365048795164884
85014.70000000001,-0.0352733451569179
85014.75000000001,-0.0342924720382197
85014.8,-0.0334577568775015
85014.85,-0.0327429234696589
85014.90000000001,-0.0321099464463948
85014.95000000001,-0.0315221608163237
85015.00000000001,-0.0309786690711095
85015.05,-0.0304565187985909
85015.1,-0.0300456010103338
85015.15000000001,-0.0297549363852501
85015.20000000001,-0.0295620617390973
85015.25000000001,-0.0293955247368465
85015.3,-0.0292269539239601
85015.35,-0.0290333626094027
85015.40000000001,-0.0288129798114188
85015.45000000001,-0.0285690338327706
85015.50000000001,-0.0283184234717324
85015.55,-0.0280768565330292
85015.6,-0.0226880040332479
85015.65000000001,-0.0198402957036502
85015.70000000001,-0.0154161089663276
85015.75,-0.0103816148580853
85015.8,-0.005689179390527
85015.85,0.0008055321648079
85015.90000000001,0.0073516516206155
85015.95000000001,0.0097075288800649
85016.0,0.0103502262480623
85016.05,0.011139124565608
85016.1,0.011553493897574
85016.15000000001,0.0135557808363402
85016.20000000001,0.0165051321787318
85016.25,0.0177581126965389
85016.3,0.0183394987151169
85016.35,0.0198230688243158
85016.40000000001,0.0199444334798895
85016.45000000001,0.0198705258116442
85016.5,0.0163247788298626
85016.55,0.0135568378842095
85016.6,0.0113270895050648
85016.65000000001,0.0117563846294767
85016.70000000001,0.0128517466044665
85016.75,0.0089544135176542
85016.8,0.0039982935650139
85016.85,1.641820514827752e-05
85016.90000000001,-0.0043048415554629
85016.95000000001,-0.0059854543231603
85017.0,-0.0063206605570315
85017.05,-0.0067526448885774
85017.1,-0.0046082526734566
85017.15000000001,-0.0045486174043474
85017.20000000001,-0.0031022996056821
85017.25,-0.0036271162026399
85017.3,-0.0033759139323106
85017.35,-0.0045566236258862
85017.40000000001,-0.0033605820255272
85017.45000000001,-0.0045560239266423
85017.5,-0.0067970766012869
85017.55,-0.0075616022401046
85017.6,-0.0078871535080958
85017.65000000001,-0.0071850692972945
85017.70000000001,-0.0057088504414473
85017.75,-0.0023180809422502
85017.8,-0.0027408834689715
85017.85,-0.0031086607506842
85017.90000000001,-0.0002680163614819
85017.95000000001,0.0001317979082075
85018.0,-0.0011877563351899
85018.05,0.0008351366812754
85018.1,0.0031101159936003
85018.15000000001,0.001003467408529
85018.20000000001,0.0009524795286115
85018.25,0.0022519301652387
85018.3,0.0019230865124461
85018.35,0.0018498685520864
85018.40000000001,-0.0005012176833736
85018.45000000001,-0.0018952624491505
85018.5,-0.0031628577881123
85018.55,-0.0019125066050167
85018.6,-0.0021903107088209
85018.65000000001,-0.0021974627482124
85018.70000000001,-0.0034616920380046
85018.75,-0.0040832784831629
85018.8,-0.0050740061108046
85018.85,-0.0088958821488388
85018.90000000001,-0.0146509259263458
85018.95000000001,-0.0195389566301595
85019.0,-0.0239583003027987
85019.05,-0.0204217699350116
85019.1,-0.0200474508422706
85019.15000000001,-0.0169264423497518
85019.20000000001,-0.0115221248290862
85019.25,0.001396051228127
85019.3,0.0170130926197736
85019.35,0.0342856486257048
85019.40000000001,0.0456368691316838
85019.45000000001,0.052965850097864
85019.5,0.0525647174793312
85019.55,0.0432663620584129
85019.6,0.0295460162687537
85019.65000000001,0.0156300508225558
85019.70000000001,0.0030174983319006
85019.75,-0.0094256682385801
85019.8,-0.0167078448786599
85019.85,-0.0188317291574021
85019.90000000001,-0.0201822491904399
85019.95000000001,-0.017056740726932
85020.0,-0.0130644048575293
85020.05,-0.0087967921598354
85020.1,-0.0051297056985303
85020.15000000001,0.0014235113273102
85020.20000000001,0.007211641105091
85020.25,0.0092514122432689
85020.3,0.005141680775916
85020.35,0.0022095346289977
85020.40000000001,-0.0005457516291988
85020.45000000001,-0.0029711560005778
85020.5,-0.0057838303463975
85020.55,-0.0064953610658661
85020.6,-0.0067775359862801
85020.65000000001,-0.0080020175932042
85020.70000000001,-0.0103250948416074
85020.75,-0.0084933728914266
85020.8,-0.0081101074288106
85020.85,-0.0080381979617389
85020.90000000001,-0.0078690236227802
85020.95000000001,-0.006776919654429
85021.0,-0.0045242628075464
85021.05,-0.0029778822906137
85021.1,-0.0016809714503162
85021.15000000001,-0.0008853940465506
85021.20000000001,-0.0002279526860381
85021.25,-0.0013317536361952
85021.3,-0.0036362118808102
85021.35,-0.0073453607363952
85021.40000000001,-0.0106284815574267
85021.45000000001,-0.0127091317410566
85021.5,-0.0137385553539582
85021.55,-0.0134939457143814
85021.6,-0.0127167505246444
85021.65000000001,-0.0099115252447768
85021.70000000001,-0.0109522267722078
85021.75,-0.0124139643942359
85021.8,-0.0092375161937162
85021.85,-0.0093352219510906
85021.90000000001,-0.0108087479316099
85021.95000000001,-0.0112149197192011
85022.0,-0.01254683159223
85022.05,-0.010187013066167
85022.1,-0.0082467735639288
85022.15000000001,-0.0088427691247614
85022.20000000001,-0.0070621859524288
85022.25,-0.0044719999574329
85022.3,-0.0029002385540952
85022.35,0.0005015655331479
85022.40000000001,0.0017390090679717
85022.45000000001,0.0015705645008811
85022.5,0.0008800037316833
85022.55,0.0013212388124307
85022.6,0.0029430469195288
85022.65000000001,0.0022101727134983
85022.70000000001,0.0011205159000384
85022.75,0.0005792823612565
85022.8,0.0009418777891145
85022.85,0.0006489500790496
85022.90000000001,0.0010095851900649
85022.95000000001,0.0030394439690474
85023.0,0.0027309267598113
85023.05,0.0025149985098509
85023.1,0.0010651625790149
85023.15000000001,-0.0013103913804025
85023.20000000001,-0.0008512117117788
85023.25,-0.0003366222596468
85023.3,-0.0010770658542422
85023.35,-0.0012001801019587
85023.40000000001,-0.0005824667239599
85023.45000000001,0.000100520454305
85023.5,-0.0012186503218418
85023.55,-0.0020497097908569
85023.6,-0.0016365400196153
85023.65000000001,-0.0005879794482895
85023.70000000001,-0.0026684238048813
85023.75,-0.0051963295911278
85023.8,-0.0072435408370594
85023.85,-0.0056899962772605
85023.90000000001,-0.005048143524526
85023.95000000001,-0.0038170435203509
85024.0,-0.0031375666262676
85024.05,-0.0020209373851026
85024.1,-0.0017320968841526
85024.15000000001,-0.0018690209280794
85024.20000000001,-0.0013503798536888
85024.25,-0.000755520078426
85024.3,-0.0013098578387498
85024.35,-0.0023693220657181
85024.40000000001,-0.0033836221672763
85024.45000000001,-0.0061194605622575
85024.5,-0.0051208899996407
85024.55,-0.0019461411898437
85024.6,-0.0015030767991681
85024.65000000001,0.0011944787551474
85024.70000000001,0.0007170211802249
85024.75,0.0015520322257309
